,count,mean,std,min,25%,50%,75%,max
pos_G,12793.0,0.41217853513640273,0.492246209583596,0.0,0.0,0.0,1.0,1.0
year,12793.0,1996.238724302353,9.2950596801484,1979.0,1989.0,1997.0,2004.0,2011.0
GP,12793.0,56.802079262096456,24.148243281604262,1.0,40.0,65.0,78.0,85.0
oRebounds,12793.0,1.133255686703664,0.8856542324041021,0.0,0.46,0.89,1.6,6.99
dRebounds,12793.0,2.5798413194715994,1.812074784131786,0.0,1.25,2.13,3.41,12.34
rebounds,12793.0,3.7131712655358227,2.589651705125323,0.0,1.8,3.03,4.98,18.66
assists,12793.0,1.9849347299304347,1.9136618077044545,0.0,0.64,1.38,2.68,14.54
steals,12793.0,0.7083201750957517,0.4901916799537735,0.0,0.35,0.61,0.96,3.67
blocks,12793.0,0.44338388181036964,0.5393347078790065,0.0,0.11,0.26,0.56,5.56
turnovers,12793.0,1.3479887438442926,0.8257370894912436,0.0,0.71,1.17,1.85,4.84
PF,12793.0,2.067153912295778,0.8509096443167922,0.0,1.44,2.06,2.68,6.0
fgAttempted,12793.0,7.232150394747135,4.7344346144067275,0.17,3.43,6.09,10.22,27.82
fgMade,12793.0,3.316312827327444,2.3093200102949742,0.0,1.47,2.75,4.71,13.39
ftAttempted,12793.0,2.3063628546861508,1.836530803639399,0.05,0.97,1.75,3.12,13.14
ftMade,12793.0,1.7191854920659717,1.4531393070153675,0.0,0.67,1.27,2.35,10.29
threeAttempted,12793.0,1.002756194794049,1.4241690031868064,0.0,0.03,0.27,1.52,8.69
threeMade,12793.0,0.3432963339326279,0.5357143604430122,0.0,0.0,0.05,0.5,3.45
fgPct,12793.0,0.4467937153130627,0.07717794581419857,0.0,0.411,0.45,0.489,1.0
ftPct,12793.0,0.7226197920737917,0.1386262777859808,0.0,0.667,0.748,0.81,1.0
threePct,10720.0,0.23916772388059715,0.17607766735711416,0.0,0.039,0.279,0.359,1.0
efgPct,12793.0,0.4688395997811297,0.07710329729410619,0.0,0.438,0.476,0.509,1.5
